CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Dining,Chase Sapphire,6143.0,8.64,Chase Sapphire Preferred,Restaurants & Bars,2025-02-26,False,Merck Wp 53 Coffee,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,25.92,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,25.92,0.0,True
Dining,Chase Sapphire,6143.0,1.08,Chase Sapphire Preferred,Restaurants & Bars,2025-02-26,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,3.24,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,3.24,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,10.96,Citi AAdvantage Platinum Select,Restaurants & Bars,2025-02-26,False,Marathon,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Guilt Free Spending,,posted,,regular,2.0,Citi AAdvantage Platinum Select,21.92,Citi AAdvantage Platinum Select,2.0,21.92,0.0,True
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,57.24,Citi AAdvantage Platinum Select,Shops,2025-02-24,False,Open House,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,57.24,Chase Freedom Unlimited,1.5,85.86,28.619999999999997,False
Dining,Chase Sapphire,6143.0,25.22,Chase Sapphire Preferred,Restaurants & Bars,2025-02-23,False,Good Karma Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,75.66,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,75.66,0.0,True
Dining,Chase Sapphire,6143.0,27.68,Chase Sapphire Preferred,Restaurants & Bars,2025-02-22,False,Knead Bagels,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,83.04,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,83.04,0.0,True
Groceries,Freedom Flex,2429.0,23.87,Chase Freedom Flex,Groceries,2025-02-22,False,Trader Joe's,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Freedom Flex,23.87,Chase Freedom Unlimited,1.5,35.8,11.929999999999996,False
Travel,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,5.6,Citi AAdvantage Platinum Select,Travel & Vacation,2025-02-21,True,American Phoenix Azname: Briglia-andrew Depart:07-03-2025 Phl To Fco: Aa: Class:y : Stop: X,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: american, aa.com, americanair",,,posted,,regular,2.0,Citi AAdvantage Platinum Select,11.2,"Chase Sapphire Preferred, Citi AAdvantage Platinum Select",2.0,11.2,0.0,True
Dining,Chase Sapphire,6143.0,6.86,Chase Sapphire Preferred,Restaurants & Bars,2025-02-20,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,20.58,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,20.58,0.0,True
Other,Freedom Flex,2429.0,-20.0,Chase Freedom Flex,Misc,2025-02-20,False,Turbotax,,False,,,,,,posted,,regular,1.0,Chase Freedom Flex,-20.0,Chase Freedom Unlimited,1.5,-30.0,0.0,False
