date,name,amount,status,category,parent category,excluded,tags,type,account,account mask,note,recurring,merchant,card_used,best_card,best_rate,points_earned,optimal_used,optimal_points,missed_points
2024-12-24,Giant,61.35,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Giant,Chase Sapphire,Freedom Unlimited,1.5,61.35,False,92.02,30.67
2024-12-24,Good Karma Cafe,6.67,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Good Karma Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,20.01,True,20.01,0.0
2024-12-23,Offer:uniqlo Usa,-8.78,posted,Clothing,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Offer:uniqlo Usa,Chase Sapphire,Freedom Unlimited,1.5,-8.78,False,-13.17,0.0
2024-12-23,Amazon Mktpl,23.83,posted,Shops,Guilt Free Spending,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon Mktpl,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Freedom Unlimited,1.5,23.83,False,35.74,11.91
2024-12-22,Acme,10.08,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Acme,Chase Sapphire,Freedom Unlimited,1.5,10.08,False,15.12,5.04
2024-12-22,Sunoco,1.03,posted,Car/Gas,Standard of Living,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Sunoco,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,2.06,True,2.06,0.0
2024-12-22,Sunoco,35.12,posted,Car/Gas,Standard of Living,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Sunoco,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,70.24,True,70.24,0.0
2024-12-21,Parkmobile-10,2.9,posted,Car/Gas,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Parkmobile-10,Chase Sapphire,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,2.9,False,5.8,2.9
2024-12-21,Wegmans,6.38,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Wegmans,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,19.14,True,19.14,0.0
2024-12-20,Payment Thank You-mobile,-2082.68,posted,,,True,,internal transfer,Chase Sapphire,6143.0,,,Payment Thank You-mobile,Chase Sapphire,Unmatched,1.0,-2082.68,False,-2082.68,0.0
2024-12-20,Bart's Bagels - 10th,4.28,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Bart's Bagels - 10th,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,12.84,True,12.84,0.0
2024-12-20,Acme,5.19,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Acme,Chase Sapphire,Freedom Unlimited,1.5,5.19,False,7.78,2.59
2024-12-20,Giant Martins,16.49,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Giant Martins,Chase Sapphire,Freedom Unlimited,1.5,16.49,False,24.74,8.25
2024-12-20,Target,10.8,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Target,Chase Sapphire,Freedom Unlimited,1.5,10.8,False,16.2,5.4
2024-12-20,Acme,11.96,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Acme,Chase Sapphire,Freedom Unlimited,1.5,11.96,False,17.94,5.98
2024-12-20,Barra Rossa,5.4,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Barra Rossa,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,16.2,True,16.2,0.0
2024-12-20,Amazon Mktpl,5.78,posted,Shops,Guilt Free Spending,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon Mktpl,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Freedom Unlimited,1.5,5.78,False,8.67,2.89
2024-12-19,Br Factory Us,50.0,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Br Factory Us,Chase Sapphire,Freedom Unlimited,1.5,50.0,False,75.0,25.0
2024-12-19,Barnes & Noble,62.63,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Barnes & Noble,Chase Sapphire,Freedom Unlimited,1.5,62.63,False,93.94,31.31
2024-12-19,Barber On 24th,48.55,posted,Personal Care,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Barber On 24th,Chase Sapphire,Unmatched,1.0,48.55,False,48.55,0.0
2024-12-19,Target,20.77,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Target,Chase Sapphire,Freedom Unlimited,1.5,20.77,False,31.16,10.39
2024-12-19,Cafe Walnut,12.85,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Cafe Walnut,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,38.55,True,38.55,0.0
2024-12-19,Amazon.com*z124d1si1,18.16,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Amazon.com*z124d1si1,Chase Sapphire,Freedom Unlimited,1.5,18.16,False,27.24,9.08
2024-12-19,Wine And Spirits,41.03,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Wine And Spirits,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,123.09,True,123.09,0.0
2024-12-19,Apple.com-bill,2.99,posted,Subscriptions,Standard of Living,False,,regular,Chase Sapphire,6143.0,,Apple Storage,Apple.com-bill,Chase Sapphire,Chase Sapphire,3.0,8.97,True,8.97,0.0
2024-12-19,Amazon Mktpl,18.78,posted,Shops,Guilt Free Spending,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon Mktpl,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Freedom Unlimited,1.5,18.78,False,28.17,9.39
2024-12-18,Br Factory Us,97.5,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Br Factory Us,Chase Sapphire,Freedom Unlimited,1.5,97.5,False,146.25,48.75
2024-12-18,Open House,32.0,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Open House,Chase Sapphire,Freedom Unlimited,1.5,32.0,False,48.0,16.0
2024-12-18,Di Bruno 479 Rtnhs,9.99,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Di Bruno 479 Rtnhs,Chase Sapphire,Freedom Unlimited,1.5,9.99,False,14.98,4.99
2024-12-18,Nectar Yoga Studio,100.0,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Nectar Yoga Studio,Chase Sapphire,Freedom Unlimited,1.5,100.0,False,150.0,50.0
2024-12-18,Uniqlo Usa Llc Uniqlo_us,87.81,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Uniqlo Usa Llc Uniqlo_us,Chase Sapphire,Freedom Unlimited,1.5,87.81,False,131.72,43.91
2024-12-17,Fitness Your Way,29.0,posted,Gym,Standard of Living,False,,regular,Chase Sapphire,6143.0,,Fitness Your Way,Fitness Your Way,Chase Sapphire,Freedom Unlimited,1.5,29.0,False,43.5,14.5
2024-12-17,Amazon Mktpl,3.11,posted,Shops,Guilt Free Spending,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon Mktpl,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Freedom Unlimited,1.5,3.11,False,4.66,1.55
2024-12-16,Septa Od6m34pi8hfr,2.5,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Septa Od6m34pi8hfr,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,5.0,True,5.0,0.0
2024-12-15,Urban Saloon,21.8,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Urban Saloon,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,65.4,True,65.4,0.0
2024-12-15,Lyft,11.99,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Lyft,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,23.98,True,23.98,0.0
2024-12-15,Good Karma Cafe,12.96,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Good Karma Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,38.88,True,38.88,0.0
2024-12-15,Foodery,18.69,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Foodery,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,56.07,True,56.07,0.0
2024-12-15,Amazon Mktpl,55.74,posted,Shops,Guilt Free Spending,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon Mktpl,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Freedom Unlimited,1.5,55.74,False,83.61,27.87
2024-12-14,Acme,9.17,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Acme,Chase Sapphire,Freedom Unlimited,1.5,9.17,False,13.76,4.59
2024-12-14,Septa Call Center-card,10.0,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Septa Call Center-card,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,20.0,True,20.0,0.0
2024-12-14,Septa Call Center-card,10.0,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Septa Call Center-card,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,20.0,True,20.0,0.0
2024-12-14,Septa Fare Machine,5.0,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Septa Fare Machine,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,10.0,True,10.0,0.0
2024-12-14,Amazon.com,19.99,posted,,,True,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Amazon.com,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Unmatched,1.0,19.99,False,19.99,0.0
2024-12-13,Trader Joe's,78.49,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Trader Joe's,Chase Sapphire,Freedom Unlimited,1.5,78.49,False,117.73,39.24
2024-12-13,Nypd Pizza,8.32,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Nypd Pizza,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,24.96,True,24.96,0.0
2024-12-13,Ptc Ez Pass Auto Re,50.0,posted,Car/Gas,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Ptc Ez Pass Auto Re,Chase Sapphire,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,50.0,False,100.0,50.0
2024-12-12,Schmear It - 12th St,5.8,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Schmear It - 12th St,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,17.4,True,17.4,0.0
2024-12-12,Payment Thank You-mobile,-82.19,posted,,,True,,internal transfer,Freedom Flex,2429.0,,,Payment Thank You-mobile,Freedom Flex,Unmatched,1.0,-82.19,False,-82.19,0.0
2024-12-11,Merck Wp 53 Cafe,5.1,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Merck Wp 53 Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,15.3,True,15.3,0.0
2024-12-11,Chick-fil-a,25.2,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Chick-fil-a,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,75.6,True,75.6,0.0
2024-12-11,Sunoco,35.06,posted,Car/Gas,Standard of Living,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Sunoco,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,70.12,True,70.12,0.0
2024-12-10,Merck Wp 53 Coffee,8.09,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Merck Wp 53 Coffee,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,24.27,True,24.27,0.0
2024-12-10,Merck Wp 53 Cafe,6.14,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Merck Wp 53 Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,18.42,True,18.42,0.0
2024-12-09,Nypd Pizza,8.32,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Nypd Pizza,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,24.96,True,24.96,0.0
2024-12-08,Bru,61.3,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Bru,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,183.9,True,183.9,0.0
2024-12-08,Foodery,25.49,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Foodery,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,76.47,True,76.47,0.0
2024-12-08,Good Karma Cafe,11.07,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Good Karma Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,33.21,True,33.21,0.0
