"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-09-30","Venmo",-22,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-30","Merck Wp 53 Cafe",7.2,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-30","Starbucks",-0.92,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-30","Monthly Interest Paid",-13.4,"posted","",,true,,"income","360 Performance Savings","9870",,""
"2025-09-30","Marathon",33.18,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-30","Standard",22,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-30","Connor Kilcoyne ""youtube Tv""",-22,"posted","Subscriptions","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-30","Standard",21.99,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-30","Standard",21.99,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-30","Shelby Gammon ""breckenridge""",60,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-30","Shelby Gammon ""breckenridge""",120,"posted","Gifts","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-30","Justin Bradley ""youtube Tv""",-21.99,"posted","Subscriptions","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-30","Danny Conlon ""youtube Tv""",-21.99,"posted","Subscriptions","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-29","6873 City Fitnes J2658 Ooff",42.5,"posted","Gym","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,"City Fitness Abc Club Fees"
"2025-09-29","Citi Card Online Payment",2598.38,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-29","Fd Sptsbk Casino Viatrustly",-24.3,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-29","Fd Sptsbk Casino Viatrustly",20,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-29","Youtube Tv",87.97,"posted","Subscriptions","Standard of Living",false,,"regular","Freedom Unlimited","1093",,"Youtube Tv"
"2025-09-28","Whole Foods",14.73,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-28","Acme",32.82,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-27","Philly Bagels - Locu",4.86,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-27","Elixr Coffee",5.83,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-27","Iovine Brothers Pro",7.07,"posted","Groceries","Standard of Living",false,,"regular","Chase Sapphire","6143",,""
"2025-09-26","Interest Paid",-0.03,"posted","",,true,,"income","Usaa Classic Checking","6726",,""
"2025-09-26","Venmo",25,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-26","Aunt Pat Bday Gift",-50,"posted","Gifts","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-26","Venmo",105,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-26","Venmo",25,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-26","Tax Withheld",0.01,"posted","",,true,,"regular","Usaa Classic Checking","6726",,""
"2025-09-26","Amazon.com*439nf68v3",37.78,"posted","Shops","Guilt Free Spending",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-26","Adobe",12.71,"posted","Subscriptions","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,"Adobe San Jose Usa"
